,Unnamed: 0,BRAND,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
1213,22681,angioprim,D543 Nutritional Supplements,0,0,1,0,0,3,4,0,2,0,9,0,1,0,2,1
1589,24137,annies,F343 Cookies & Crackers,0,0,0,1,0,2,3,0,0,0,6,1,1,0,1,0
419,3213,annuitydiscovery,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,5,6,0,2,1,16,2,1,0,4,2
420,3214,annuityfyi,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,4,4,0,1,1,10,1,1,0,2,1
421,3215,annuitywatch,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,4,4,0,2,0,12,1,1,0,1,1
2214,27193,ansul,H625 Security & Fire Safety Systems,0,0,1,0,0,2,2,0,0,0,5,1,1,0,0,1
697,13029,aopa,B430 Insurance Agencies & Brokers,1,0,0,0,0,0,3,0,1,1,4,0,1,0,0,1
2176,27047,apc,H310 Household Batteries,0,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0
2228,27242,aperio,H625 Security & Fire Safety Systems,0,0,0,0,0,1,4,0,1,1,6,0,1,0,2,1
1882,25943,apex,"G451 Snow Skis, Boards, Blades & Accessories",0,0,0,0,0,0,2,0,1,0,4,0,1,0,1,0
1214,22683,apeza,D543 Nutritional Supplements,1,0,0,0,0,0,3,0,1,1,5,1,1,0,1,0
512,5074,apgfcu,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,0,2,0,2,1,6,1,1,0,0,1
1776,25200,applebees,G323 Casual Dining Restaurants,0,0,0,1,0,1,4,0,3,0,9,1,1,0,2,0
2397,27821,aquafest,T412 Cruise Ship Travel,0,1,0,0,0,0,4,0,1,0,8,2,1,0,1,1
155,709,aquatalia,A311 Womens Shoes & Boots,1,0,0,0,0,1,6,0,1,1,9,0,1,0,1,1
1733,24894,aquatica,G141 Cameras (Excl Video),1,0,0,0,0,0,5,0,1,1,8,0,1,0,1,1
2093,26816,aquis,H142 Bedding & Linens,0,0,0,1,0,0,3,0,0,0,5,1,1,0,1,1
156,711,ara,A311 Womens Shoes & Boots,1,0,0,0,0,1,2,0,0,1,3,0,1,0,0,0
482,4311,arborcrowd,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,4,3,0,2,0,10,0,1,0,0,2
934,20636,arcadia,B721 Office Furniture & Accessories,1,0,0,0,0,1,4,0,1,1,7,0,1,0,1,0
157,713,arche,A311 Womens Shoes & Boots,0,0,0,0,0,1,2,0,0,1,5,1,1,0,1,0
3,28,arcteryx,A141 Sportswear & Athleticwear,0,0,0,0,0,3,2,0,1,0,8,0,1,0,1,0
1605,24198,arden,F343 Cookies & Crackers,0,0,1,0,0,2,2,0,1,0,5,0,1,0,1,0
1825,25744,ardent,G411 Fishing Tackle & Equipment,0,1,0,0,0,2,2,0,2,0,6,0,1,0,1,0
2398,27823,arenui,T412 Cruise Ship Travel,0,0,0,0,0,2,4,0,0,1,6,0,1,0,2,1
1475,23809,arette,F122 Cooking Oils,0,0,0,0,0,1,3,0,2,1,6,0,1,0,2,0
2399,27824,argosy,T412 Cruise Ship Travel,0,0,0,0,0,2,2,0,1,1,6,1,1,0,1,1
1476,23810,ariston,F122 Cooking Oils,0,0,1,0,0,2,3,0,1,0,7,1,1,0,1,1
2229,27244,arlo,H625 Security & Fire Safety Systems,0,0,0,0,0,2,2,0,0,1,4,0,1,0,0,1
597,8841,armstrong,B225 Internet Service Providers (ISP),0,1,1,0,0,4,2,0,2,0,9,1,1,0,0,1
1176,22548,arnicare,D511 Pain Remedies,0,0,0,0,0,3,4,0,0,1,8,0,1,0,2,0
547,7355,arrevio,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,2,4,0,0,1,7,1,1,0,2,1
1723,24820,arri,G141 Cameras (Excl Video),0,0,0,0,0,2,2,0,0,1,4,0,1,0,1,0
1215,22691,arthrozene,D543 Nutritional Supplements,0,0,0,0,0,3,4,0,1,1,10,2,1,0,2,1
1979,26501,artland,"H111 Dinnerware, Glassware & Pottery",0,1,0,0,0,3,2,0,2,0,7,0,1,0,0,0
598,8843,arvig,B225 Internet Service Providers (ISP),0,1,0,0,0,1,2,0,1,0,5,1,1,0,1,0
1216,22692,ascent,D543 Nutritional Supplements,0,1,0,0,0,1,2,0,1,0,6,1,1,0,1,0
432,3340,ashokfx,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,0,2,0,1,0,7,2,1,0,0,1
4,33,asics,A141 Sportswear & Athleticwear,0,0,0,1,0,0,2,0,0,0,5,2,1,0,1,0
568,7850,associates,B124 Loan/Credit Products & Services (Consumer),0,0,0,1,0,0,5,0,1,0,10,3,1,0,2,1
5,35,assos,A141 Sportswear & Athleticwear,0,0,0,1,0,0,2,0,0,0,5,3,1,0,0,1
1217,22694,astafx,D543 Nutritional Supplements,0,0,0,0,0,0,2,0,1,0,6,2,1,0,0,0
1164,22487,asteeza,D511 Pain Remedies,1,0,0,0,0,0,4,0,1,1,7,2,1,0,1,0
422,3216,athene,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,3,0,1,1,6,1,1,0,2,0
6,37,athleta,A141 Sportswear & Athleticwear,1,0,0,0,0,1,3,0,2,1,7,1,1,0,1,0
1185,22577,atkins,D543 Nutritional Supplements,0,0,0,1,0,1,2,0,2,0,6,1,1,0,1,0
2400,27825,atlantis,T412 Cruise Ship Travel,0,0,0,1,0,2,3,0,2,0,8,1,1,0,1,0
1218,22704,atrantil,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,2,0,8,0,1,0,1,0
2331,27570,aukey,H625 Security & Fire Safety Systems,0,0,0,0,0,1,3,0,1,1,5,0,1,0,2,1
1102,22068,australis,"D181 Women's Scents, Fragrances, Perfumes",0,0,0,1,0,2,4,0,1,0,9,2,1,0,1,1
2215,27194,autocall,H625 Security & Fire Safety Systems,0,0,1,0,0,2,4,0,1,0,8,0,1,0,0,2
540,6486,autogravity,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,2,5,0,3,1,11,1,1,0,2,2
2231,27261,autotronics,H625 Security & Fire Safety Systems,0,0,0,1,0,2,5,0,2,0,11,1,1,0,1,3
2094,26817,avanti,H142 Bedding & Linens,0,0,0,0,0,1,3,0,1,1,6,1,1,0,1,0
1041,21849,aveda,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",1,0,0,0,0,0,3,0,1,1,5,1,1,0,1,0
1042,21850,aveeno,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,0,0,0,1,4,0,0,1,6,1,1,0,1,1
980,20758,avery,"B722 Stationery,Greeting Cards&Misc Paper Gds",0,0,0,0,0,2,2,0,0,1,5,1,1,0,2,0
386,2654,avistone,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,4,0,1,1,8,2,1,0,2,1
1967,26430,avoderm,G613 Cat & Dog Food Combination,0,0,1,0,0,2,3,0,1,0,7,1,1,0,1,1
823,18103,awin,"B651 Advertising, Marketing & Printing Svcs",0,0,1,0,0,2,2,0,0,0,4,0,1,0,1,0
2202,27148,axion,H413 Dishwashing Detergents,0,0,1,0,0,1,3,0,0,0,5,0,1,0,1,1
301,1480,babiators,A430 Sunglasses,0,0,0,1,0,1,4,1,3,0,9,1,0,0,1,1
1639,24356,babybel,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",0,0,1,0,0,2,2,1,3,0,7,0,0,0,1,0
1980,26502,baccarat,"H111 Dinnerware, Glassware & Pottery",0,1,0,0,0,1,3,1,2,0,8,0,0,0,0,0
1703,24686,badger,F611 Regular Beer & Ale,0,0,1,0,0,1,2,1,3,0,6,0,0,0,1,0
1826,25745,baitcloud,G411 Fishing Tackle & Equipment,0,1,0,0,0,1,4,1,3,0,9,0,0,0,1,1
158,718,balenciaga,A311 Womens Shoes & Boots,1,0,0,0,0,2,5,1,2,1,10,0,0,0,2,0
2205,27160,ballistol,H432 Multipurpose Cleaners (Cleansers),0,0,1,0,0,3,3,1,2,0,9,1,0,0,1,1
159,719,bally,A311 Womens Shoes & Boots,0,0,0,0,0,3,1,1,1,1,5,0,0,0,1,0
160,722,balmain,A311 Womens Shoes & Boots,0,0,1,0,0,3,3,1,1,0,7,0,0,0,1,0
259,1319,bandolier,A411 Handbags,0,0,1,0,0,3,4,1,2,0,9,0,0,0,1,1
513,5116,bankgloucester,B124 Loan/Credit Products & Services (Consumer),0,0,1,0,0,3,5,1,4,0,14,1,0,0,2,1
514,5118,bankrate,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,2,3,1,3,1,8,0,0,0,1,0
1219,22711,baobest,D543 Nutritional Supplements,0,1,0,0,0,0,3,1,3,0,7,1,0,0,1,1
1151,22443,barbasol,D439 Mens Shaving Equipment & Supplies General Promotion,0,0,1,0,0,2,3,1,2,0,8,1,0,0,0,1
70,292,barbour,A141 Sportswear & Athleticwear,0,0,1,0,0,2,3,1,2,0,7,0,0,0,0,1
1640,24357,barcel,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",0,0,1,0,0,2,2,1,1,0,6,0,0,0,1,0
344,1670,barclaycard,B111 Credit Cards,0,1,0,0,0,4,3,1,2,0,11,0,0,0,0,0
1507,23887,barilla,F259 Pasta & Pasta Dishes General Promotion,1,0,0,0,0,3,3,1,1,1,7,0,0,0,1,0
449,3593,barings,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,2,2,1,2,0,7,1,0,0,1,0
1411,23564,barleans,D543 Nutritional Supplements,0,0,0,1,0,3,3,1,1,0,8,1,0,0,1,0
1569,24063,barritas,F343 Cookies & Crackers,0,0,0,1,0,2,3,1,2,0,8,1,0,0,1,0
1742,24935,basler,G141 Cameras (Excl Video),0,0,1,0,0,2,2,1,1,0,6,1,0,0,1,0
2026,26628,bassett,H122 Mattresses & Box Springs,0,1,0,0,0,0,2,1,3,0,7,2,0,0,1,0
2095,26819,bassetti,H142 Bedding & Linens,0,0,0,0,0,0,3,1,3,1,8,2,0,0,2,0
218,991,bata,A321 Sneakers,1,0,0,0,0,0,2,1,2,1,4,0,0,0,0,0
824,18124,bazaarvoice,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,1,6,1,1,1,11,2,0,0,2,1
1165,22493,bc,D511 Pain Remedies,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
935,20638,bdi,B721 Office Furniture & Accessories,0,0,0,0,0,0,1,1,2,1,3,0,0,0,1,0
450,3598,beamalife,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,2,5,1,1,1,9,1,0,0,3,0
161,727,bearpaw,A311 Womens Shoes & Boots,0,0,0,0,0,2,3,1,2,0,7,0,0,0,1,0
2027,26631,beautyrest,H122 Mattresses & Box Springs,0,1,0,0,0,2,4,1,3,0,10,1,0,0,2,1
2097,26822,bedgard,H142 Bedding & Linens,0,1,0,0,0,1,2,1,4,0,7,0,0,0,1,0
2098,26823,bedgear,H142 Bedding & Linens,0,0,1,0,0,1,3,1,3,0,7,0,0,0,2,0
2359,27682,behr,H631 Paint,0,0,1,0,0,1,1,1,1,0,4,0,0,0,1,0
1521,23932,belfonte,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,0,0,0,2,3,1,2,1,8,1,0,0,2,1
2028,26639,bellabed,H122 Mattresses & Box Springs,0,1,0,0,0,2,3,1,3,0,8,0,0,0,2,0
1658,24426,bells,F611 Regular Beer & Ale,0,0,0,1,0,2,1,1,1,0,5,1,0,0,1,0
1478,23812,bellucci,F122 Cooking Oils,0,0,0,0,0,2,3,1,1,1,8,0,0,0,2,1
1606,24200,belvita,F343 Cookies & Crackers,1,0,0,0,0,1,3,1,2,1,7,1,0,0,2,0
1179,22556,benadryl,"D529 Cold, Cough, Sinus & Asthma Remdies:Comb & NEC",0,0,1,0,0,4,2,1,2,0,8,0,0,0,1,0
599,8862,bendbroadband,B225 Internet Service Providers (ISP),0,1,0,0,0,3,4,1,6,0,13,0,0,0,1,1
1774,25159,benihana,G323 Casual Dining Restaurants,1,0,0,0,0,2,4,1,1,1,8,0,0,0,2,0
1777,25216,bennigans,G323 Casual Dining Restaurants,0,0,0,1,0,3,3,1,2,0,9,1,0,0,2,0
1624,24325,bensdorp,F413 Cocoa & Milk Additives,0,1,0,0,0,2,2,1,3,0,8,1,0,0,1,1
2360,27696,berel,H631 Paint,0,0,1,0,0,2,2,1,1,0,5,0,0,0,2,0
2099,26824,bergers,H142 Bedding & Linens,0,0,0,1,0,2,2,1,2,0,7,1,0,0,2,0
1827,25748,berkley,G411 Fishing Tackle & Equipment,0,0,0,0,0,3,2,1,2,1,7,0,0,0,3,0
162,732,bernardo,A311 Womens Shoes & Boots,0,0,0,0,0,3,3,1,2,1,8,0,0,0,1,1
1412,23566,berocca,D543 Nutritional Supplements,1,0,0,0,0,1,3,1,1,1,7,0,0,0,1,1
71,294,berrylook,A141 Sportswear & Athleticwear,0,1,0,0,0,4,3,1,2,0,9,0,0,0,1,1
1479,23815,bertolli,F122 Cooking Oils,0,0,0,0,0,3,3,1,2,1,8,0,0,0,2,1
1768,25124,bertuccis,G323 Casual Dining Restaurants,0,0,0,1,0,1,3,1,2,0,9,1,0,0,2,1
2029,26640,bestar,H122 Mattresses & Box Springs,0,0,1,0,0,1,2,1,2,0,6,1,0,0,1,0
977,20747,bestself,"B722 Stationery,Greeting Cards&Misc Paper Gds",0,0,0,1,0,1,2,1,2,0,8,3,0,0,2,0
1180,22557,beta,"D529 Cold, Cough, Sinus & Asthma Remdies:Comb & NEC",1,0,0,0,0,0,2,1,2,1,4,0,0,0,1,0
387,2657,betashares,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,1,4,1,2,0,10,2,0,0,2,0
1510,23895,bettern,F280 Peanut Butter & Sandwich Spreads,0,0,1,0,0,2,2,1,3,0,7,0,0,0,2,0
936,20641,bevco,B721 Office Furniture & Accessories,0,0,0,0,0,0,2,1,1,1,5,1,0,0,1,1
1152,22446,bevel,D439 Mens Shaving Equipment & Supplies General Promotion,0,0,1,0,0,1,2,1,1,0,5,1,0,0,2,0
680,9410,biblica,"B322 Religious, Charitable & Humanitarian",1,0,0,0,0,1,3,1,2,1,7,0,0,0,2,0
2443,31980,bigbadtoystore,V363 Toy Stores,0,0,0,0,0,2,5,1,6,1,14,1,0,0,2,2
1818,25579,biggby,G324 Coffee & Donut Restaurants,0,0,0,0,0,1,1,1,4,1,6,0,0,0,2,0
733,15882,bigrep,B521 Printers & Printing Accessories,0,1,0,0,0,1,2,1,3,0,6,0,0,0,2,0
7,42,biink,A141 Sportswear & Athleticwear,0,1,0,0,0,1,2,1,2,0,5,0,0,0,2,0
1103,22070,bijan,"D181 Women's Scents, Fragrances, Perfumes",0,0,1,0,0,1,2,1,1,0,5,1,0,0,1,0
2451,34056,bikeradar,V365 Sporting Goods Stores,0,0,1,0,0,2,4,1,3,0,9,0,0,0,2,0
