,Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
104,costa,A430 Sunglasses,,,,4:04,,,,https://www.costadelmar.com/us/en/sunglasses,
106,oakley,A430 Sunglasses,,,,13:00,,,,https://www.oakley.com/en-us,
107,serengeti,A430 Sunglasses,,,,5:05,,,,https://www.serengeti-eyewear.com/en-ca/,
109,zeal,A430 Sunglasses,,,,4:02,,,,https://www.zealoptics.com/US/en_US?clear=true,
110,cartier,A430 Sunglasses,,,,0:02,,,,https://www.cartier.com/,
111,ess,A430 Sunglasses,,,,3:00,,,,https://www.esseyepro.com/,
112,voca,A430 Sunglasses,,,,1:01,,,,https://vocaeyewear.com/our-story/,
113,vogue,A430 Sunglasses,,,,1:02,,,,https://www.vogue-eyewear.com/us,
114,prosper,B111 Credit Cards,,,,1:00,,,,https://www.prosper.com/,
115,netspend,B111 Credit Cards,,,,1:02,,,,https://www.netspend.com/,
116,mastercard,B111 Credit Cards,,,,1:05,,,,https://www.mastercard.us/en-us.html,
117,citigroup,B111 Credit Cards,,,,1:00,,,,https://www.citigroup.com/citi/,
118,brinks,B111 Credit Cards,,,,1:00,,,,https://us.brinks.com/,
119,barclaycard,B111 Credit Cards,,,,1:03,,,,https://cards.barclaycardus.com/,
120,itau,B111 Credit Cards,,,,1:01,,,,https://www.itau.com/,
121,jcb,B111 Credit Cards,,,,1:04,,,,https://www.global.jcb/en/,
123,scotiabank,B111 Credit Cards,,,,0:03,,,,https://www.scotiabank.com/ca/en/personal.html,
124,macerich,B111 Credit Cards,,,,4:15,,,,https://www.macerich.com/,
125,vanguard,B122 Investment Products & Services (Excluding Retirement),,,,3:02,,,,https://investor.vanguard.com/corporate-portal/,
126,nationwide,B122 Investment Products & Services (Excluding Retirement),,,,5:04,,,,https://www.nationwide.com/,
127,liquidnet,B122 Investment Products & Services (Excluding Retirement),,,,7:02,,,,https://www.liquidnet.com/,
128,nadex,B122 Investment Products & Services (Excluding Retirement),,,,1:00,,,,https://www.nadex.com/,
130,synacor,"B651 Advertising, Marketing & Printing Svcs",,,,1:01,,,,https://synacor.com/,
133,merlin,B913 Employment Agencies,,,,0:01,,,,https://merlinjobs.com/,
134,tmc,B913 Employment Agencies,,,,1:00,,,,https://tmc-employeneurship.com/careers,
135,roc,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:02,,,,https://www.rocskincare.com/,
137,garnier,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:05,,,,https://www.garnierusa.com/,
138,vaseline,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:01,,,,https://www.vaseline.com/ca/en,
139,gojo,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,4:05,,,,https://www.gojo.com/en/,
140,chamonix,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:08,,,,https://www.betterskintoday.com/,
141,palmers,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://ca.palmers.com/,
142,jergens,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:01,,,,https://www.jergens.com/en-ca/,
143,elemis,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,1:12,,,,https://www.elemis.com/us/?redirect=yes,
144,ponds,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.ponds.com/us/en/home.html,
146,tula,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:01,,,,https://www.tula.com/,
149,caudalie,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:04,,,,https://us.caudalie.com/,
150,aveeno,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:09,,,,https://www.aveeno.com/,
151,skinceuticals,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.skinceuticals.ca/,
152,weleda,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:04,,,,https://www.weleda.com/,
154,neutrogena,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.neutrogena.com/,
155,clinique,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:06,,,,https://www.clinique.com/,
156,clarins,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.clarinsusa.com/on/demandware.store/Sites-clarinsus-Site/en_US,
157,eucerin,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.eucerinus.com/,
158,dermalogica,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:08,,,,https://www.dermalogica.ca/on/demandware.store/Sites-dermalogica-ca-Site/en_CA/Home-Show,
159,shiseido,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.shiseido.com/ca/en/,
160,elf,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:01,,,,https://www.elfcosmetics.com/,
161,glossier,"D149 Face Makeup, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:02,,,,https://www.glossier.com/,
163,australis,"D181 Women's Scents, Fragrances, Perfumes",,,,0:14,,,,https://www.australiscosmetics.com.au/,
164,boucheron,"D181 Women's Scents, Fragrances, Perfumes",,,,0:04,,,,https://www.boucheron.com/en/,
165,rembrandt,D211 Toothpaste & Whiteners,,,,3:03,,,,https://www.rembrandt.com/,
166,pola,D211 Toothpaste & Whiteners,,,,1:03,,,,https://polawhite.com.au/en-US/,
167,colgate,D211 Toothpaste & Whiteners,,,,0:02,,,,https://www.colgate.com/en-ca,
170,crest,D211 Toothpaste & Whiteners,,,,3:02,,,,https://crest.com/en-us,
171,remington,D259 Womens Shaving Supplies General Promotion,,,,5:13,,,,http://www.remingtonproducts.com/,
172,cremo,D439 Mens Shaving Equipment & Supplies General Promotion,,,,4:00,,,,https://cremocompany.com/,
173,gillette,D439 Mens Shaving Equipment & Supplies General Promotion,,,,4:00,,,,https://gillette.ca/en-ca,
174,braun,D439 Mens Shaving Equipment & Supplies General Promotion,,,,5:02,,,,https://us.braun.com/en-us,
175,harrys,D439 Mens Shaving Equipment & Supplies General Promotion,,,,2:00,,,,https://www.harrys.com/en/ca,
176,barbasol,D439 Mens Shaving Equipment & Supplies General Promotion,,,,1:00,,,,https://barbasol.com/,
177,bevel,D439 Mens Shaving Equipment & Supplies General Promotion,,,,7:00,,,,https://getbevel.com/,
178,aleve,D511 Pain Remedies,,,,2:03,,,,https://www.aleve.com/,
179,tylenol,D511 Pain Remedies,,,,4:02,,,,https://www.tylenol.com/,
180,advil,D511 Pain Remedies,,,,2:02,,,,https://www.advil.com/,
181,bc,D511 Pain Remedies,,,,3:04,,,,https://www.bcpowder.com/,
182,excedrin,D511 Pain Remedies,,,,1:01,,,,https://www.excedrin.com/,
183,motrin,D511 Pain Remedies,,,,0:02,,,,https://www.motrin.com/,
185,anacin,D511 Pain Remedies,,,,1:02,,,,https://www.anacin.com/,
187,pfizer,"D529 Cold, Cough, Sinus & Asthma Remdies:Comb & NEC",,,,4:03,,,,https://www.pfizer.com/,
188,vicks,"D529 Cold, Cough, Sinus & Asthma Remdies:Comb & NEC",,,,1:01,,,,https://vicks.com/en-us,
189,robitussin,"D529 Cold, Cough, Sinus & Asthma Remdies:Comb & NEC",,,,2:05,,,,https://www.robitussin.com/,
190,gatorade,D543 Nutritional Supplements,,,,2:00,,,,https://www.gatorade.com/,
192,kion,D543 Nutritional Supplements,,,,3:01,,,,https://getkion.com/,
193,ascent,D543 Nutritional Supplements,,,,4:00,,,,https://www.ascentprotein.com/,
194,atkins,D543 Nutritional Supplements,,,,5:03,,,,https://www.atkins.com/?bypassgeoip=1,
195,weider,D543 Nutritional Supplements,,,,0:02,,,,https://www.weider.com/,
196,epicor,D543 Nutritional Supplements,,,,3:02,,,,https://www.epicorimmune.com/,
197,mhp,D543 Nutritional Supplements,,,,1:00,,,,https://mhpstrong.com/,
200,limitless,D543 Nutritional Supplements,,,,2:00,,,,https://limitlessnutritioninc.com/,
202,pritikin,D543 Nutritional Supplements,,,,6:08,,,,https://www.pritikin.com/,
203,staunch,D543 Nutritional Supplements,,,,1:00,,,,https://staunchnation.com/,
204,gnc,D543 Nutritional Supplements,,,,3:02,,,,https://www.gnc.com/,
205,soylent,D543 Nutritional Supplements,,,,2:01,,,,https://soylent.com/,
207,musclepharm,D543 Nutritional Supplements,,,,4:02,,,,https://musclepharm.com/,
208,hylands,D543 Nutritional Supplements,,,,2:03,,,,https://www.hylands.com/,
209,align,D543 Nutritional Supplements,,,,3:03,,,,https://www.alignprobiotics.com/en-us,
210,amway,D543 Nutritional Supplements,,,,0:02,,,,https://www.amway.com/,
211,juven,D543 Nutritional Supplements,,,,2:03,,,,https://juven.com/,
212,muscletech,D543 Nutritional Supplements,,,,1:01,,,,https://www.muscletech.ca/,
216,mri,D543 Nutritional Supplements,,,,6:00,,,,https://mri-performance.com/,
219,iwi,D543 Nutritional Supplements,,,,1:03,,,,https://iwilife.com/,
220,usana,D543 Nutritional Supplements,,,,0:02,,,,https://www.usana.com/ux/dotcom/#!/enu-US/home,
221,ignite,D543 Nutritional Supplements,,,,7:03,,,,https://ignitenutrition.com/,
222,reaal,D543 Nutritional Supplements,,,,3:02,,,,https://reaal.tlcchealth.com/,
223,flyte,D543 Nutritional Supplements,,,,7:07,,,,https://flytesport.com/,
224,immunocal,D543 Nutritional Supplements,,,,4:04,,,,https://www.immunotec.com/,
225,berocca,D543 Nutritional Supplements,,,,5:02,,,,https://www.buyberocca.com/en/home/,
229,esi,D543 Nutritional Supplements,,,,0:03,,,,https://www.esi-nutrition.com/en/,
231,hims,D543 Nutritional Supplements,,,,6:00,,,,https://www.forhims.com/,
232,enu,D543 Nutritional Supplements,,,,7:06,,,,https://www.enu-nutrition.com/,
235,isagenix,D543 Nutritional Supplements,,,,2:03,,,,https://www.isagenix.com/en-us/,
237,culturelle,D543 Nutritional Supplements,,,,6:07,,,,https://www.culturelle.com/,
239,splenda,F113 Artificial Sweeteners,,,,3:03,,,,https://www.splenda.com/,
240,nutella,F280 Peanut Butter & Sandwich Spreads,,,,1:01,,,,https://www.nutella.com/us/en/,
241,smuckers,F280 Peanut Butter & Sandwich Spreads,,,,1:00,,,,https://www.smuckers.com/,
242,maranatha,F280 Peanut Butter & Sandwich Spreads,,,,1:01,,,,http://www.maranathafoods.com/,
243,deans,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,2:01,,,,http://www.deanfoods.com/,
244,kemps,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,2:02,,,,https://kemps.com/,
245,holanda,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,0:02,,,,https://www.heladosholanda.com.mx/home.html,
246,lactaid,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,1:01,,,,https://www.lactaid.com/,
247,hudsonville,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,1:01,,,,https://www.hudsonvilleicecream.com/,
248,coolhaus,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,0:02,,,,https://cool.haus/,
249,abbotts,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,6:05,,,,https://www.abbottscustard.com/,
250,loacker,F343 Cookies & Crackers,,,,4:05,,,,https://www.loackerusa.com/en/,
251,biscoff,F343 Cookies & Crackers,,,,2:01,,,,https://www.lotusbiscoff.com/en-us,
253,mcdonalds,F411 Coffee,,,,2:02,,,,https://www.mcdonalds.com/us/en-us.html,
254,nespresso,F411 Coffee,,,,2:01,,,,https://www.nespresso.com/us/,
255,nescafe,F411 Coffee,,,,2:00,,,,https://www.nescafe.com/,
256,tostitos,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,3:03,,,,https://www.tostitos.com/,
257,shearers,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,1:00,,,,https://www.shearers.com/,
258,pringles,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,8:05,,,,https://www.popcorners.com/,
259,landshark,F611 Regular Beer & Ale,,,,2:01,,,,https://www.landsharklager.com/,
260,miller,F611 Regular Beer & Ale,,,,3:01,,,,https://www.millerlite.com/,
261,heineken,F611 Regular Beer & Ale,,,,2:02,,,,https://www.heineken.com/us,
262,steinlager,F611 Regular Beer & Ale,,,,3:00,,,,https://steinlager.com/,
263,carlsberg,F611 Regular Beer & Ale,,,,3:01,,,,https://www.carlsberg.com/en/,
264,amstel,F611 Regular Beer & Ale,,,,3:00,,,,https://www.amstel.com/,
265,rogue,F611 Regular Beer & Ale,,,,4:01,,,,https://www.rogue.com/,
266,tecate,F611 Regular Beer & Ale,,,,3:01,,,,https://tecatebeerusa.com/,
267,labatt,F611 Regular Beer & Ale,,,,2:02,,,,http://www.labatt.com/,
268,sol,F611 Regular Beer & Ale,,,,6:05,,,,https://www.sol.com/ca/en/homepage,
269,busch,F611 Regular Beer & Ale,,,,2:00,,,,https://www.busch.com/,
270,sapporo,F611 Regular Beer & Ale,,,,1:00,,,,https://sapporobeer.com/,
271,brooklyn,F611 Regular Beer & Ale,,,,5:00,,,,https://brooklynbrewery.com/,
272,altstadt,F611 Regular Beer & Ale,,,,3:03,,,,https://www.altstadtbeer.com/,
273,chang,F611 Regular Beer & Ale,,,,13:00,,,,https://www.changbeer.com/?lang=en,
274,sunup,F611 Regular Beer & Ale,,,,1:01,,,,https://sunup.beer/,
275,widmer,F611 Regular Beer & Ale,,,,5:02,,,,https://www.widmerbrothers.com/,
276,pabst,F611 Regular Beer & Ale,,,,1:03,,,,https://pabstblueribbon.com/,
277,hoboken,F611 Regular Beer & Ale,,,,1:01,,,,https://hobokenbrewing.beer/,
279,bruz,F611 Regular Beer & Ale,,,,2:00,,,,https://www.bruzbeers.com/,
280,teledyne,G141 Cameras (Excl Video),,,,0:01,,,,http://www.teledyne.com/,
281,flir,G141 Cameras (Excl Video),,,,2:01,,,,https://www.flir.ca/,
282,ricoh,G141 Cameras (Excl Video),,,,5:02,,,,https://www.ricoh-usa.com/,
283,fujifilm,G141 Cameras (Excl Video),,,,1:00,,,,https://www.fujifilm.ca/index.html,
284,nikon,G141 Cameras (Excl Video),,,,2:07,,,,https://www.nikon.com/,
285,sealife,G141 Cameras (Excl Video),,,,3:02,,,,https://www.sealife-cameras.com/,
286,polaroid,G141 Cameras (Excl Video),,,,1:01,,,,https://us.polaroid.com/,
288,olympus,G141 Cameras (Excl Video),,,,4:03,,,,https://www.getolympus.com/,
289,perkins,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.perkinsrestaurants.com/,
290,bonefish,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.bonefishgrill.com/,
291,fuddruckers,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.fuddruckers.com/#,
292,benihana,G323 Casual Dining Restaurants,,,,5:03,,,,https://www.benihana.com/,
293,salata,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.salata.com/,
294,pappas,G323 Casual Dining Restaurants,,,,0:01,,,,https://www.pappas.com/home/,
295,tucanos,G323 Casual Dining Restaurants,,,,0:01,,,,https://www.tucanos.com/,
296,hakkasan,G323 Casual Dining Restaurants,,,,3:07,,,,https://hakkasan.com/,
297,dennys,G323 Casual Dining Restaurants,,,,6:06,,,,https://www.dennys.com/,
298,sizzler,G323 Casual Dining Restaurants,,,,2:04,,,,https://www.sizzler.com/,
299,hooters,G323 Casual Dining Restaurants,,,,0:04,,,,https://www.hooters.com/,
300,abuelos,G323 Casual Dining Restaurants,,,,2:01,,,,https://www.abuelos.com/,
303,sharis,G323 Casual Dining Restaurants,,,,2:01,,,,https://www.sharis.com/,
305,caribou,G324 Coffee & Donut Restaurants,,,,5:00,,,,https://www.cariboucoffee.com/,
306,johnson,G411 Fishing Tackle & Equipment,,,,1:00,,,,https://www.johnsonfishing.com/,
307,daiwa,G411 Fishing Tackle & Equipment,,,,2:00,,,,https://www.daiwa.com/us/,
308,mustad,G411 Fishing Tackle & Equipment,,,,6:01,,,,https://mustad-fishing.com/,
310,acme,G411 Fishing Tackle & Equipment,,,,7:01,,,,https://www.acmetackle.com/,
311,rio,G411 Fishing Tackle & Equipment,,,,2:01,,,,https://www.rioproducts.com/,
312,ardent,G411 Fishing Tackle & Equipment,,,,8:00,,,,https://ardentoutdoors.com/,
