,BRAND,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
22605,olly,D543 Nutritional Supplements,0,0,0,0,0,3,1,0,0,1,4,0,1,0,1,1
22606,paleo,D543 Nutritional Supplements,0,0,0,0,0,1,3,1,1,1,5,0,0,0,1,1
22608,powerbar,D543 Nutritional Supplements,0,0,1,0,0,3,3,1,2,0,8,0,0,0,1,1
22612,prosource,D543 Nutritional Supplements,0,0,0,0,0,2,4,1,1,1,9,1,0,0,1,2
22617,questbar,D543 Nutritional Supplements,0,0,1,0,0,1,3,0,2,0,8,1,0,0,1,1
22618,rxbar,D543 Nutritional Supplements,0,0,1,0,0,2,1,0,1,0,5,0,0,1,0,0
22621,simplemd,D543 Nutritional Supplements,0,1,0,0,1,3,2,0,2,0,8,1,0,0,2,0
22623,thinkthin,D543 Nutritional Supplements,0,0,1,0,1,2,2,1,3,0,9,2,0,0,2,0
22626,zing,D543 Nutritional Supplements,0,1,1,0,1,1,1,0,1,0,4,1,0,0,1,0
22632,advantedge,D543 Nutritional Supplements,0,0,0,1,0,1,4,0,4,1,10,1,1,0,2,0
22633,advocare,D543 Nutritional Supplements,0,0,0,0,0,1,4,0,1,1,8,1,1,0,1,1
22639,airborne,D543 Nutritional Supplements,0,0,0,0,0,3,4,0,1,1,8,0,1,0,2,1
22649,alen,D543 Nutritional Supplements,0,0,1,0,0,2,2,0,0,0,4,0,1,0,1,0
22650,align,D543 Nutritional Supplements,0,0,1,0,0,2,2,0,1,0,5,0,1,0,1,0
22655,alkamind,D543 Nutritional Supplements,0,1,0,0,0,3,3,0,2,0,8,0,1,0,1,0
22669,amberen,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,1,0,7,0,1,0,2,0
22672,aminocore,D543 Nutritional Supplements,0,0,0,0,0,3,5,0,0,1,9,0,1,0,2,2
22674,amplivida,D543 Nutritional Supplements,1,0,0,0,0,2,4,0,2,1,9,1,1,0,2,0
22675,amway,D543 Nutritional Supplements,0,0,0,0,0,3,2,0,0,1,5,0,1,0,1,0
22676,anatabloc,D543 Nutritional Supplements,0,0,0,0,0,2,4,0,2,0,9,0,1,0,0,1
22681,angioprim,D543 Nutritional Supplements,0,0,1,0,0,3,4,0,2,0,9,0,1,0,2,1
22683,apeza,D543 Nutritional Supplements,1,0,0,0,0,0,3,0,1,1,5,1,1,0,1,0
22691,arthrozene,D543 Nutritional Supplements,0,0,0,0,0,3,4,0,1,1,10,2,1,0,2,1
22692,ascent,D543 Nutritional Supplements,0,1,0,0,0,1,2,0,1,0,6,1,1,0,1,0
22694,astafx,D543 Nutritional Supplements,0,0,0,0,0,0,2,0,1,0,6,2,1,0,0,0
22704,atrantil,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,2,0,8,0,1,0,1,0
22711,baobest,D543 Nutritional Supplements,0,1,0,0,0,0,3,1,3,0,7,1,0,0,1,1
22735,biofinest,D543 Nutritional Supplements,0,1,0,0,0,1,4,1,2,0,9,2,0,0,3,1
22736,biohm,D543 Nutritional Supplements,0,0,1,0,0,1,2,1,1,0,5,0,0,0,1,1
22737,biolife,D543 Nutritional Supplements,0,0,0,0,0,1,4,1,1,1,7,1,0,0,3,1
22738,bioprostol,D543 Nutritional Supplements,0,0,1,0,0,2,4,1,3,0,10,1,0,0,1,3
22740,biotrust,D543 Nutritional Supplements,0,1,0,0,0,1,3,1,3,0,8,1,0,0,1,2
22742,bioxtron,D543 Nutritional Supplements,0,0,1,0,0,2,3,1,2,0,8,0,0,0,1,2
22743,bipro,D543 Nutritional Supplements,0,0,0,0,0,1,2,1,2,1,5,0,0,0,1,1
22765,calmax,D543 Nutritional Supplements,0,0,0,0,0,2,2,0,0,0,6,0,0,0,0,0
22766,calotren,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,1,0,8,0,0,0,1,1
22767,carbion,D543 Nutritional Supplements,0,0,1,0,0,2,3,0,1,0,7,0,0,0,1,1
22772,carnivor,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,0,0,8,1,0,0,1,1
22776,carnivora,D543 Nutritional Supplements,1,0,0,0,0,3,4,0,0,1,9,1,0,0,1,1
22781,cbdpure,D543 Nutritional Supplements,0,0,0,0,0,1,2,0,3,1,7,0,0,0,1,1
22782,cebria,D543 Nutritional Supplements,1,0,0,0,0,1,3,0,1,1,6,0,0,0,2,0
22783,celergen,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,1,0,8,0,0,0,3,0
22784,cellucor,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,0,0,8,0,0,0,1,2
22785,cellutaris,D543 Nutritional Supplements,0,0,0,1,0,3,4,0,1,0,10,1,0,0,2,1
22788,cheongkwanjang,D543 Nutritional Supplements,0,1,1,0,1,4,4,0,3,0,14,2,0,0,1,1
22789,choleslo,D543 Nutritional Supplements,0,0,0,0,1,2,3,0,0,1,8,2,0,0,1,2
22791,cholesterade,D543 Nutritional Supplements,0,0,0,0,1,2,5,0,2,1,12,2,0,0,3,1
22793,clarisoy,D543 Nutritional Supplements,0,0,0,0,0,3,3,0,0,1,8,1,0,0,2,1
22797,cocoavia,D543 Nutritional Supplements,1,0,0,0,0,0,5,0,0,1,8,1,0,0,1,2
22800,coggevity,D543 Nutritional Supplements,0,0,0,0,0,1,3,0,3,1,9,1,0,0,3,1
22801,cognizin,D543 Nutritional Supplements,0,0,1,0,0,2,3,0,1,0,8,1,0,0,2,1
22803,collagen,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,1,0,8,0,0,0,1,1
22805,colonix,D543 Nutritional Supplements,0,0,0,0,0,2,3,0,0,0,7,0,0,0,1,2
22812,cosequin,D543 Nutritional Supplements,0,0,1,0,0,1,4,0,0,0,8,1,0,0,2,2
22813,crs,D543 Nutritional Supplements,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0
22814,culturelle,D543 Nutritional Supplements,0,0,0,0,0,4,4,0,1,1,10,0,0,0,2,2
22828,cytogreens,D543 Nutritional Supplements,0,0,0,1,0,3,3,0,2,0,10,1,0,0,1,1
22835,digestacure,D543 Nutritional Supplements,0,0,0,0,0,1,5,1,3,1,11,1,0,0,3,1
22869,eas,D543 Nutritional Supplements,0,0,0,1,0,0,2,0,0,0,3,1,1,0,1,0
22872,eliteops,D543 Nutritional Supplements,0,0,0,1,0,1,4,0,2,0,8,1,1,0,3,1
22873,elixinol,D543 Nutritional Supplements,0,0,1,0,0,3,4,0,0,0,8,0,1,0,3,1
22880,emotiquell,D543 Nutritional Supplements,0,0,1,0,0,3,5,0,1,0,10,0,1,0,3,2
22881,endoca,D543 Nutritional Supplements,1,0,0,0,0,1,3,0,1,1,6,0,1,0,1,1
22882,enfagrow,D543 Nutritional Supplements,0,0,0,0,0,3,3,0,1,0,8,1,1,0,1,1
22888,enu,D543 Nutritional Supplements,0,0,0,0,0,1,2,0,0,1,3,0,1,0,1,1
22889,enzymedica,D543 Nutritional Supplements,1,0,0,0,0,3,4,0,1,1,10,1,1,0,3,0
22891,epicor,D543 Nutritional Supplements,0,0,1,0,0,1,3,0,1,0,6,0,1,0,2,1
22892,epiq,D543 Nutritional Supplements,0,0,0,0,0,0,2,0,1,0,4,0,1,0,2,0
22893,esi,D543 Nutritional Supplements,0,0,0,0,0,0,2,0,0,1,3,1,1,0,2,0
22895,essentials,D543 Nutritional Supplements,0,0,0,1,0,2,4,0,1,0,10,3,1,0,3,0
22896,estroven,D543 Nutritional Supplements,0,0,1,0,0,2,3,0,1,0,8,2,1,0,2,1
22900,evivo,D543 Nutritional Supplements,0,0,0,0,0,0,3,0,0,1,5,2,1,0,2,1
22903,evogen,D543 Nutritional Supplements,0,0,1,0,0,1,3,0,1,0,6,1,1,0,2,1
22906,eyepromise,D543 Nutritional Supplements,0,0,0,0,0,3,5,0,1,1,10,1,1,0,4,1
22908,fdgard,D543 Nutritional Supplements,0,1,0,0,1,1,1,0,3,0,6,1,0,0,0,0
22921,florastor,D543 Nutritional Supplements,0,0,1,0,1,3,3,0,1,0,9,2,0,0,0,2
22932,frs,D543 Nutritional Supplements,0,0,0,1,1,1,0,0,0,0,3,2,0,0,0,0
22935,fuze,D543 Nutritional Supplements,0,0,0,0,1,0,2,0,0,1,4,2,0,0,1,1
22942,garligest,D543 Nutritional Supplements,0,1,0,0,0,2,3,1,3,0,9,1,0,0,2,0
22943,garlique,D543 Nutritional Supplements,0,0,0,0,0,2,4,1,1,1,8,0,0,0,2,1
22951,genestra,D543 Nutritional Supplements,1,0,0,0,0,2,3,1,2,1,8,1,0,0,2,0
22952,ghr,D543 Nutritional Supplements,0,0,1,0,0,1,0,1,1,0,3,0,0,0,0,0
22957,glucocil,D543 Nutritional Supplements,0,0,1,0,0,2,3,1,1,0,8,0,0,0,1,2
22958,glucopure,D543 Nutritional Supplements,0,0,0,0,0,2,4,1,2,1,9,0,0,0,1,3
22968,goodbelly,D543 Nutritional Supplements,0,0,0,0,0,3,3,1,3,1,9,0,0,0,2,1
22986,heartisan,D543 Nutritional Supplements,0,0,1,0,0,2,4,0,1,0,9,1,0,0,2,0
22987,hellolife,D543 Nutritional Supplements,0,0,0,0,0,3,4,0,0,1,9,1,0,0,3,1
22989,hempx,D543 Nutritional Supplements,0,0,0,0,0,1,1,0,1,0,5,0,0,0,1,0
22991,hexapro,D543 Nutritional Supplements,0,0,0,0,0,1,3,0,1,1,7,0,0,0,1,1
22994,hims,D543 Nutritional Supplements,0,0,0,1,0,1,1,0,0,0,4,1,0,0,1,0
22995,hormosex,D543 Nutritional Supplements,0,0,0,0,0,2,3,0,0,0,8,1,0,0,1,2
22997,humann,D543 Nutritional Supplements,0,0,1,0,0,3,2,0,0,0,6,0,0,0,0,1
23003,ibgard,D543 Nutritional Supplements,0,1,0,0,0,1,2,0,3,0,6,0,1,0,1,0
23004,ico,D543 Nutritional Supplements,0,0,0,0,0,0,2,0,0,1,3,0,1,0,1,1
23006,ignite,D543 Nutritional Supplements,0,0,0,0,0,1,3,0,2,1,6,0,1,0,3,0
23008,immunocal,D543 Nutritional Supplements,0,0,1,0,0,4,4,0,0,0,9,0,1,0,1,2
23014,instaflex,D543 Nutritional Supplements,0,0,0,0,0,2,3,0,1,0,9,2,1,0,2,0
23016,instone,D543 Nutritional Supplements,0,0,0,0,0,2,3,0,1,1,7,1,1,0,2,1
23024,isoflex,D543 Nutritional Supplements,0,0,0,0,0,1,3,0,0,0,7,2,1,0,2,1
23030,joyn,D543 Nutritional Supplements,0,0,1,0,1,2,1,0,0,0,4,1,0,0,0,1
23031,jubi,D543 Nutritional Supplements,0,0,0,0,1,0,2,0,1,1,4,1,0,0,1,1
23032,juven,D543 Nutritional Supplements,0,0,1,0,1,1,2,0,0,0,5,2,0,0,1,1
23038,keraviatin,D543 Nutritional Supplements,0,0,1,0,0,2,5,1,2,0,10,1,0,0,3,0
23039,keto,D543 Nutritional Supplements,0,0,0,0,0,0,2,1,2,1,4,0,0,0,1,1
23040,kevita,D543 Nutritional Supplements,1,0,0,0,0,0,3,1,2,1,6,1,0,0,2,0
23045,kion,D543 Nutritional Supplements,0,0,1,0,0,1,2,1,1,0,4,0,0,0,1,1
23047,kura,D543 Nutritional Supplements,1,0,0,0,0,1,2,1,1,1,4,0,0,0,0,1
23053,libimax,D543 Nutritional Supplements,0,0,0,0,0,2,3,0,1,0,7,0,0,1,2,0
23056,lifeseasons,D543 Nutritional Supplements,0,0,0,1,0,2,5,0,0,0,11,4,0,1,3,1
23057,limitless,D543 Nutritional Supplements,0,0,0,1,0,3,3,0,1,0,9,2,0,1,3,0
23061,liquidblue,D543 Nutritional Supplements,0,0,0,0,0,2,5,0,2,1,10,0,0,1,3,2
23062,liverite,D543 Nutritional Supplements,0,0,0,0,0,2,4,0,1,1,8,1,0,1,4,0
23067,lumiday,D543 Nutritional Supplements,0,0,0,0,0,3,3,0,1,1,7,0,0,1,2,1
23071,lysulin,D543 Nutritional Supplements,0,0,1,0,0,4,2,0,0,0,7,1,0,1,1,1
23074,macuhealth,D543 Nutritional Supplements,0,0,0,1,0,2,4,0,1,0,10,1,0,1,1,1
23077,magnilife,D543 Nutritional Supplements,0,0,0,0,0,3,4,0,1,1,9,1,0,1,3,0
23089,maxivision,D543 Nutritional Supplements,0,0,1,0,0,2,5,0,0,0,10,2,0,1,3,1
23090,mederma,D543 Nutritional Supplements,1,0,0,0,0,3,3,0,1,1,7,0,0,1,2,0
23095,mencareplus,D543 Nutritional Supplements,0,0,0,1,0,4,4,0,1,0,11,1,0,1,2,1
23096,mesomorph,D543 Nutritional Supplements,0,0,0,0,0,3,3,0,1,0,9,1,0,1,1,2
23098,mhp,D543 Nutritional Supplements,0,1,0,0,0,1,0,0,1,0,3,0,0,1,0,0
23102,mila,D543 Nutritional Supplements,1,0,0,0,0,2,2,0,0,1,4,0,0,1,1,0
23106,mmusa,D543 Nutritional Supplements,1,0,0,0,0,2,2,0,0,1,5,1,0,1,0,1
23107,modere,D543 Nutritional Supplements,0,0,0,0,0,2,3,0,1,1,6,0,0,1,2,1
23108,mojo,D543 Nutritional Supplements,0,0,0,0,0,1,2,0,0,1,4,1,0,1,0,2
23115,mri,D543 Nutritional Supplements,0,0,0,0,0,2,1,0,0,1,3,0,0,1,1,0
23126,muscletech,D543 Nutritional Supplements,0,0,0,1,0,2,3,0,1,0,10,2,0,1,2,1
23142,natavi,D543 Nutritional Supplements,0,0,0,0,0,1,3,0,1,1,6,1,0,1,1,0
23143,natren,D543 Nutritional Supplements,0,0,1,0,0,3,2,0,1,0,6,0,0,1,1,0
23144,natrol,D543 Nutritional Supplements,0,0,1,0,0,3,2,0,1,0,6,0,0,1,0,1
23171,neocell,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,0,0,7,0,0,1,2,1
23173,neovitin,D543 Nutritional Supplements,0,0,1,0,0,2,4,0,1,0,8,1,0,1,3,1
23174,nephure,D543 Nutritional Supplements,0,0,0,0,0,2,3,0,1,1,7,0,0,1,2,1
23175,neprinol,D543 Nutritional Supplements,0,0,1,0,0,4,3,0,1,0,8,0,0,1,2,1
23191,nitraflex,D543 Nutritional Supplements,0,0,0,0,0,3,3,0,1,0,9,1,0,1,2,0
23195,nopalina,D543 Nutritional Supplements,1,0,0,0,0,3,4,0,1,1,8,0,0,1,1,1
23198,novirin,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,0,0,7,1,0,1,2,1
23209,nucific,D543 Nutritional Supplements,0,0,0,0,0,1,3,0,0,0,7,1,0,1,2,1
23211,nugenix,D543 Nutritional Supplements,0,0,0,0,0,2,3,0,1,0,7,0,0,1,2,1
23213,nutrabase,D543 Nutritional Supplements,0,0,0,0,0,2,4,0,2,1,9,1,0,1,1,1
23219,nutriketo,D543 Nutritional Supplements,0,0,0,0,0,2,4,0,3,1,9,0,0,1,2,2
23220,nutrimost,D543 Nutritional Supplements,0,1,0,0,0,3,3,0,2,0,9,1,0,1,1,2
23245,organifi,D543 Nutritional Supplements,0,0,0,0,0,2,4,0,1,1,8,1,1,0,2,1
23246,organixx,D543 Nutritional Supplements,0,0,0,0,0,2,3,0,1,0,8,0,1,0,1,1
23253,oxigenesis,D543 Nutritional Supplements,0,0,0,1,0,1,5,0,1,0,10,2,1,0,4,1
23256,pantesin,D543 Nutritional Supplements,0,0,1,0,0,2,3,1,2,0,8,1,0,0,2,0
23258,pediasure,D543 Nutritional Supplements,0,0,0,0,0,1,5,1,2,1,9,1,0,0,3,1
23262,peppod,D543 Nutritional Supplements,0,1,0,0,0,0,2,1,4,0,6,0,0,0,1,1
23263,peptiva,D543 Nutritional Supplements,1,0,0,0,0,0,3,1,3,1,7,1,0,0,2,0
23265,percepta,D543 Nutritional Supplements,1,0,0,0,0,1,3,1,3,1,8,0,0,0,2,0
23270,performax,D543 Nutritional Supplements,0,0,0,0,0,3,3,1,1,0,9,1,0,0,1,1
23271,performix,D543 Nutritional Supplements,0,0,0,0,0,3,3,1,1,0,9,1,0,0,2,1
23273,phillips,D543 Nutritional Supplements,0,0,0,1,0,2,2,1,2,0,8,1,0,0,2,0
23275,phosphatidylserine,D543 Nutritional Supplements,0,0,0,0,0,4,6,1,4,1,18,2,0,0,4,1
23276,plantiva,D543 Nutritional Supplements,1,0,0,0,0,2,3,1,2,1,8,1,0,0,1,0
23280,potentisimo,D543 Nutritional Supplements,0,0,0,0,0,2,5,1,3,1,11,1,0,0,3,2
23283,prebiothrive,D543 Nutritional Supplements,0,0,0,0,0,2,5,1,3,1,12,2,0,0,4,1
23284,precharge,D543 Nutritional Supplements,0,0,0,0,0,2,3,1,2,1,9,1,0,0,2,0
23288,prevagen,D543 Nutritional Supplements,0,0,1,0,0,2,3,1,2,0,8,1,0,0,2,0
23294,prinova,D543 Nutritional Supplements,1,0,0,0,0,2,3,1,1,1,7,1,0,0,1,1
23295,pritikin,D543 Nutritional Supplements,0,0,1,0,0,2,3,1,3,0,8,0,0,0,3,0
23298,probiogen,D543 Nutritional Supplements,0,0,1,0,0,2,4,1,3,0,9,0,0,0,2,2
23304,progenex,D543 Nutritional Supplements,0,0,0,0,0,2,3,1,2,0,8,0,0,0,2,1
23308,pronourish,D543 Nutritional Supplements,0,0,0,1,0,3,4,1,1,0,10,1,0,0,1,2
23310,prostagenix,D543 Nutritional Supplements,0,0,0,0,0,2,4,1,3,0,11,1,0,0,2,1
23316,protazen,D543 Nutritional Supplements,0,0,1,0,0,2,3,1,2,0,8,1,0,0,1,1
23317,provarin,D543 Nutritional Supplements,0,0,1,0,0,3,3,1,1,0,8,1,0,0,1,1
23318,provasca,D543 Nutritional Supplements,1,0,0,0,0,1,3,1,1,1,8,2,0,0,0,1
23346,qivana,D543 Nutritional Supplements,1,0,0,0,0,1,3,0,0,1,6,1,0,0,1,0
23351,qunol,D543 Nutritional Supplements,0,0,1,0,0,2,2,0,0,0,5,0,0,0,0,2
23357,reaal,D543 Nutritional Supplements,0,0,1,0,0,2,3,0,0,0,5,0,0,1,1,0
23364,regactiv,D543 Nutritional Supplements,0,0,0,1,0,1,3,0,2,0,8,1,0,1,2,0
23365,regimen,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,1,0,7,0,0,1,3,0
23367,relizen,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,0,0,7,1,0,1,3,0
23377,resveratrol,D543 Nutritional Supplements,0,0,1,0,0,4,4,0,1,0,11,2,0,1,2,1
23378,revactin,D543 Nutritional Supplements,0,0,1,0,0,2,3,0,1,0,8,1,0,1,2,0
23391,sanavita,D543 Nutritional Supplements,1,0,0,0,1,1,4,0,1,1,8,2,0,0,1,0
23397,scitec,D543 Nutritional Supplements,0,0,0,0,1,0,2,0,1,0,6,1,0,0,2,0
23400,serovital,D543 Nutritional Supplements,0,0,1,0,1,2,4,0,1,0,9,2,0,0,2,1
23403,serretia,D543 Nutritional Supplements,1,0,0,0,1,2,4,0,1,1,8,1,0,0,3,0
23404,setria,D543 Nutritional Supplements,1,0,0,0,1,1,3,0,1,1,6,1,0,0,2,0
23422,somabiotix,D543 Nutritional Supplements,0,0,0,0,1,1,5,0,2,0,10,1,0,0,2,2
23423,soylent,D543 Nutritional Supplements,0,1,0,0,1,3,2,0,1,0,7,1,0,0,1,1
23430,spoonfulone,D543 Nutritional Supplements,0,0,0,0,1,3,5,0,1,1,11,2,0,0,1,3
23431,sportlegs,D543 Nutritional Supplements,0,0,0,1,1,2,2,0,3,0,9,2,0,0,1,1
23432,squeezed,D543 Nutritional Supplements,0,1,0,0,1,0,4,0,1,0,8,2,0,0,2,1
23433,staunch,D543 Nutritional Supplements,0,0,0,1,1,1,2,0,1,0,7,2,0,0,0,1
23446,sunfood,D543 Nutritional Supplements,0,1,0,0,1,1,3,0,1,0,7,2,0,0,0,2
23450,superbeets,D543 Nutritional Supplements,0,0,0,1,1,1,4,0,3,0,10,2,0,0,2,1
23461,testofx,D543 Nutritional Supplements,0,0,0,0,0,0,2,1,2,0,7,2,0,0,1,1
23462,testogen,D543 Nutritional Supplements,0,0,1,0,0,1,3,1,3,0,8,1,0,0,2,1
23464,testrovax,D543 Nutritional Supplements,0,0,0,0,0,1,3,1,2,0,9,2,0,0,1,1
23468,thryve,D543 Nutritional Supplements,0,0,0,0,1,2,1,1,1,1,6,2,0,0,1,0
23475,truflow,D543 Nutritional Supplements,0,0,0,0,0,3,2,1,1,0,7,1,0,0,0,2
23483,unjury,D543 Nutritional Supplements,0,0,0,0,0,3,2,0,0,1,6,1,1,0,1,2
23484,urinozinc,D543 Nutritional Supplements,0,0,0,0,0,3,4,0,0,0,9,1,1,0,2,2
23486,usana,D543 Nutritional Supplements,1,0,0,0,0,1,3,0,0,1,5,1,1,0,0,1
23489,usp,D543 Nutritional Supplements,0,1,0,0,0,0,1,0,1,0,3,1,1,0,0,1
23492,vegansmart,D543 Nutritional Supplements,0,1,0,0,1,3,3,0,2,0,10,2,0,0,1,0
23493,velositol,D543 Nutritional Supplements,0,0,1,0,1,2,4,0,1,0,9,2,0,0,2,2
23494,ventricore,D543 Nutritional Supplements,0,0,0,0,1,3,4,0,1,1,10,1,0,0,3,1
23496,vht,D543 Nutritional Supplements,0,1,0,0,1,0,0,0,1,0,3,1,0,0,0,0
23498,viagril,D543 Nutritional Supplements,0,0,1,0,1,2,3,0,1,0,7,1,0,0,2,0
23499,vigfx,D543 Nutritional Supplements,0,0,0,0,1,0,1,0,1,0,5,2,0,0,1,0
23500,vinomega,D543 Nutritional Supplements,1,0,0,0,1,2,4,0,1,1,8,1,0,0,2,1
23503,virilityex,D543 Nutritional Supplements,0,0,0,0,1,3,4,0,1,0,10,1,0,0,4,0
23504,vitadone,D543 Nutritional Supplements,0,0,0,0,1,1,4,0,2,1,8,1,0,0,2,1
23505,vitafusion,D543 Nutritional Supplements,0,0,1,0,1,1,5,0,1,0,10,3,0,0,2,2
23510,vitalbulk,D543 Nutritional Supplements,0,1,0,0,1,2,3,0,3,0,9,1,0,0,1,1
23512,vitalkhai,D543 Nutritional Supplements,0,0,0,0,1,1,4,0,2,1,9,1,0,0,2,0
23513,vitamix,D543 Nutritional Supplements,0,0,0,0,1,1,3,0,1,0,7,1,0,0,2,0
23518,weider,D543 Nutritional Supplements,0,0,1,0,0,2,3,0,1,0,6,0,0,1,2,0
23525,xtendovite,D543 Nutritional Supplements,0,0,0,0,0,1,4,0,3,1,10,1,0,0,3,1
23526,ygreen,D543 Nutritional Supplements,0,0,1,0,0,3,2,0,1,0,6,0,0,1,1,0
23533,yuctivil,D543 Nutritional Supplements,0,0,1,0,0,2,3,0,1,0,8,1,0,1,2,1
23536,zenus,D543 Nutritional Supplements,0,0,0,1,1,1,2,0,0,0,5,2,0,0,1,1
23548,hylands,D543 Nutritional Supplements,0,0,0,1,0,3,1,0,1,0,7,1,0,0,0,0
23561,americell,D543 Nutritional Supplements,0,0,1,0,0,4,4,0,0,0,9,0,1,0,3,0
23564,barleans,D543 Nutritional Supplements,0,0,0,1,0,3,3,1,1,0,8,1,0,0,1,0
23566,berocca,D543 Nutritional Supplements,1,0,0,0,0,1,3,1,1,1,7,0,0,0,1,1
23569,biocell,D543 Nutritional Supplements,0,0,1,0,0,2,3,1,1,0,7,0,0,0,2,1
23572,biosync,D543 Nutritional Supplements,0,0,0,0,0,2,2,1,1,0,7,1,0,0,1,1
23583,clarityx,D543 Nutritional Supplements,0,0,0,0,0,3,2,0,1,0,8,0,0,0,1,0
23588,colostril,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,1,0,9,1,0,0,1,2
23590,ctd,D543 Nutritional Supplements,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0
23594,doterra,D543 Nutritional Supplements,1,0,0,0,0,2,3,1,2,1,7,0,0,0,1,1
23597,dreambrands,D543 Nutritional Supplements,0,0,0,1,0,4,3,1,3,0,11,1,0,0,1,0
23600,dymatize,D543 Nutritional Supplements,0,0,0,0,0,2,3,1,2,1,8,1,0,0,2,0
23602,effihealth,D543 Nutritional Supplements,0,0,0,1,0,1,4,0,1,0,10,3,1,0,3,0
23603,ejaculoid,D543 Nutritional Supplements,0,1,0,0,0,1,5,0,1,0,9,1,1,0,2,2
23605,elysium,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,0,0,7,1,1,0,2,1
23610,enervit,D543 Nutritional Supplements,0,1,0,0,0,2,3,0,1,0,7,1,1,0,3,0
23614,finitro,D543 Nutritional Supplements,0,0,0,0,1,2,3,0,1,1,7,1,0,0,2,1
23616,flyte,D543 Nutritional Supplements,0,0,0,0,1,2,1,0,1,1,5,1,0,0,1,0
23622,genostim,D543 Nutritional Supplements,0,0,1,0,0,2,3,1,2,0,8,1,0,0,2,1
23624,gnc,D543 Nutritional Supplements,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0
23634,icelandirect,D543 Nutritional Supplements,0,1,0,0,0,3,5,0,2,0,12,0,1,0,4,0
23640,isagenix,D543 Nutritional Supplements,0,0,0,0,0,1,4,0,1,0,8,1,1,0,3,0
23641,isopure,D543 Nutritional Supplements,0,0,0,0,0,1,4,0,1,1,7,1,1,0,2,2
23642,iwi,D543 Nutritional Supplements,0,0,0,0,0,1,2,0,0,1,3,0,1,0,2,0
23644,jovium,D543 Nutritional Supplements,0,0,1,0,1,1,3,0,0,0,6,2,0,0,1,2
23653,lupavita,D543 Nutritional Supplements,1,0,0,0,0,1,4,0,2,1,8,1,0,1,1,1
23656,megafood,D543 Nutritional Supplements,0,1,0,0,0,1,4,0,2,0,8,1,0,1,1,1
23657,mentalbright,D543 Nutritional Supplements,0,1,0,0,0,4,3,0,4,0,12,0,0,1,2,0
23658,moringa,D543 Nutritional Supplements,1,0,0,0,0,3,3,0,1,1,7,0,0,1,1,1
23659,musclemeds,D543 Nutritional Supplements,0,0,0,1,0,3,3,0,1,0,10,2,0,1,2,1
23660,musclepharm,D543 Nutritional Supplements,0,0,1,0,0,4,3,0,1,0,11,1,0,1,1,1
23663,myprotein,D543 Nutritional Supplements,0,0,1,0,0,4,3,0,2,0,9,0,0,1,1,1
23671,natureworks,D543 Nutritional Supplements,0,0,0,1,0,4,4,0,2,0,11,1,0,1,1,2
23680,nitrosigine,D543 Nutritional Supplements,0,0,0,0,0,3,5,0,2,1,11,1,0,1,4,1
23686,nutrabio,D543 Nutritional Supplements,0,0,0,0,0,2,4,0,2,1,8,0,0,1,1,2
23688,nutrex,D543 Nutritional Supplements,0,0,0,0,0,2,2,0,1,0,6,0,0,1,1,1
23690,nutrimedical,D543 Nutritional Supplements,0,0,1,0,0,4,5,0,2,0,12,0,0,1,3,1
23700,physiotru,D543 Nutritional Supplements,0,0,0,0,0,2,3,1,2,1,9,1,0,0,1,2
23701,pines,D543 Nutritional Supplements,0,0,0,1,0,1,2,1,1,0,5,1,0,0,2,0
23709,produra,D543 Nutritional Supplements,1,0,0,0,0,2,3,1,2,1,7,0,0,0,0,2
23711,purelyinspired,D543 Nutritional Supplements,0,1,0,0,0,5,5,1,3,0,14,1,0,0,4,1
23726,rivalus,D543 Nutritional Supplements,0,0,0,1,0,2,3,0,0,0,7,2,0,1,1,1
23728,san,D543 Nutritional Supplements,0,0,1,0,1,1,1,0,0,0,3,1,0,0,0,0
23729,sanavitta,D543 Nutritional Supplements,1,0,0,0,1,1,4,0,2,1,9,2,0,0,1,0
