Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
revo,A430 Sunglasses,,,,2:04,,,`,https://www.revo.com/,
costa,A430 Sunglasses,,,,4:04,,,,https://www.costadelmar.com/us/en/sunglasses,
gatorz,A430 Sunglasses,,,,5:00,,,,https://www.gatorz.com/,
oakley,A430 Sunglasses,,,,13:00,,,,https://www.oakley.com/en-us,
serengeti,A430 Sunglasses,,,,5:05,,,,https://www.serengeti-eyewear.com/en-ca/,
kaenon,A430 Sunglasses,,,,2:01,,,,https://kaenon.com/,
zeal,A430 Sunglasses,,,,4:02,,,,https://www.zealoptics.com/US/en_US?clear=true,
cartier,A430 Sunglasses,,,,0:02,,,,https://www.cartier.com/,
ess,A430 Sunglasses,,,,3:00,,,,https://www.esseyepro.com/,
voca,A430 Sunglasses,,,,1:01,,,,https://vocaeyewear.com/our-story/,
vogue,A430 Sunglasses,,,,1:02,,,,https://www.vogue-eyewear.com/us,
prosper,B111 Credit Cards,,,,1:00,,,,https://www.prosper.com/,
netspend,B111 Credit Cards,,,,1:02,,,,https://www.netspend.com/,
mastercard,B111 Credit Cards,,,,1:05,,,,https://www.mastercard.us/en-us.html,
citigroup,B111 Credit Cards,,,,1:00,,,,https://www.citigroup.com/citi/,
brinks,B111 Credit Cards,,,,1:00,,,,https://us.brinks.com/,
barclaycard,B111 Credit Cards,,,,1:03,,,,https://cards.barclaycardus.com/,
itau,B111 Credit Cards,,,,1:01,,,,https://www.itau.com/,
jcb,B111 Credit Cards,,,,1:04,,,,https://www.global.jcb/en/,
fuelman,B111 Credit Cards,,,,1:00,,,,https://www.fuelman.com/en/,
scotiabank,B111 Credit Cards,,,,0:03,,,,https://www.scotiabank.com/ca/en/personal.html,
macerich,B111 Credit Cards,,,,4:15,,,,https://www.macerich.com/,
vanguard,B122 Investment Products & Services (Excluding Retirement),,,,3:02,,,,https://investor.vanguard.com/corporate-portal/,
nationwide,B122 Investment Products & Services (Excluding Retirement),,,,5:04,,,,https://www.nationwide.com/,
liquidnet,B122 Investment Products & Services (Excluding Retirement),,,,7:02,,,,https://www.liquidnet.com/,
nadex,B122 Investment Products & Services (Excluding Retirement),,,,1:00,,,,https://www.nadex.com/,
awin,"B651 Advertising, Marketing & Printing Svcs",,,,4:04,,,,https://www.awin.com/us,
synacor,"B651 Advertising, Marketing & Printing Svcs",,,,1:01,,,,https://synacor.com/,
