,Unnamed: 0,brand,alignment,Word2Vec_alignment,Word2Vec_resid_alignment,Wikipedia_alignment,Wikipedia_resid_alignment,Glove_alignment,Glove_resid_alignment
1154,864.0,hudsonville,0.09786324902916904,0.09786324410769469,0.05889386771188642,-0.12668033273405954,0.08063946337446232,-0.017295329267227877,-0.05735756768749645
1155,826.0,bellucci,0.09794226384788426,0.09794225892243633,-0.002346537986903658,-0.13811885601351068,-0.018594589846780727,0.19136482695215823,0.04480799927190638
1156,1009.0,estrella,0.09830976439717816,0.09830975945324885,0.10323449982909166,-0.07285454989603518,0.13140760489059367,0.14721845518011312,0.1457818554922917
1157,1262.0,avanti,0.09834653353503843,0.09834652858925999,-0.06918548859088237,-0.14506444331801033,-0.04452276916150774,0.047076112931196075,-0.10026289174578933
1158,45.0,sugoi,0.09901324983201673,0.09901324485270968,0.05413212704146743,-0.022824450308394056,0.05352295917788595,-0.013693357368937713,-0.03572318287718565
1159,431.0,pendo,0.09950754785474407,0.0995075428505791,0.034224921299227766,-0.13275706151628733,-0.030243896455523216,0.05682768856332495,0.05455033932133784
1160,447.0,eos,0.09960844365115744,0.09960843864191853,0.020283698385990836,0.02782181725709975,0.06822196812556044,0.06179291745411214,0.06738373480412388
1161,1423.0,hillsboro,0.09969227782986308,0.09969227281640818,0.07574786150586625,-0.09727788548295718,0.04056299478533903,0.0028455082521212545,0.0607660632018618
1162,705.0,motrin,0.09976327744038327,0.09976327242335786,0.047202866532017426,-0.029922745700984126,0.09925741291461394,0.07069016778318488,-0.010044688226962447
1163,1304.0,whirlpool,0.09976828803086753,0.09976828301359011,0.04670881838251691,-0.08305219482485858,0.03195045013439685,0.008052496622437053,-0.04199857006704415
1164,470.0,abc,0.09979220705585656,0.09979220203737628,0.04937029056988673,-0.09926340658705081,-0.028485351713072104,0.0668674265614367,0.07417380964940537
1165,1181.0,plushies,0.10041281499740527,0.10041280994771504,0.033643958748933174,-0.05382429045980404,0.15083561730866185,0.0028125416201752462,-0.09467543299729186
1166,1073.0,islands,0.10054365442269786,0.10054364936642783,0.05196568795279427,-0.11575913596431098,-0.031435996570246545,0.006001592309771875,-0.03196531140867018
1167,1255.0,talley,0.1005902922960476,0.10059028723743216,0.0866246195478109,-0.14722245710745532,0.010343478297733712,0.029038848695561198,0.013518513248558593
1168,587.0,frankfort,0.1006093819162306,0.10060937685665518,0.07021580838938743,-0.16712272079816198,0.0018386585043455722,-0.041133202374974795,-0.056111885871133714
1169,226.0,unionpay,0.10077879430926667,0.10077878924117166,0.09207145367032397,-0.06972284324782417,0.11409153507903268,0.057825528543040974,0.07292214504289632
1170,930.0,marley,0.10099779461872896,0.10099778953962056,0.025889282531992575,-0.17947939903076093,-0.08789953271960901,0.055925108596899004,-0.026156364633916927
1171,1243.0,luft,0.10103928944427737,0.10103928436308218,0.08425396608168903,-0.030854578672609146,0.06744490116918621,0.024905905543864015,0.013924515250884999
1173,1236.0,essentia,0.10125638161638903,0.10125637652427642,0.09264480949577092,-0.07741119745050665,0.12063102246554899,0.07386703837541525,0.05444180867013584
1174,685.0,pola,0.10147832989201402,0.1014783247887398,-0.010189267369180265,-0.0766559680847869,-0.01568611768575652,0.0525578003469193,-0.062077346889358946
1175,323.0,cibc,0.10181663418013512,0.10181662905984776,0.09747914736416466,-0.05744086242942148,0.020079323974335456,-0.05195208507263337,-0.022714210939063062
1176,509.0,cpr,0.1019199229453072,0.10191991781982554,0.054960717522696045,-0.00817844748189294,0.021091071694112395,0.05676114598351893,0.07596236124170505
1177,235.0,paypal,0.10215455987185428,0.10215455473457292,0.10943787564549118,-0.14151546193886402,-0.009027575646582648,-0.002918796856954963,0.025421834795393013
1178,1427.0,newmar,0.10216162578516842,0.10216162064753176,0.08709082419152323,-0.09517877853067211,0.02723458029525294,0.10990008594977937,0.138132407821984
1180,1350.0,dsx,0.10222840596431844,0.1022284008233234,0.10724164477207684,0.028265092606931747,0.11975217711380952,0.08848148529387687,0.11121037392098759
1181,795.0,usp,0.10224502329679402,0.10224501815496333,0.000856908247172869,-0.0613457726700123,-0.05066724608883987,-0.08926081032443871,-0.12788198758207414
1182,218.0,ebay,0.10263473447664012,0.10263472931521113,0.09721834804379895,-0.08770044366592902,0.005361247117061818,-0.0008574540523648673,0.02757916571867485
1183,816.0,vega,0.10263929227937724,0.102639287117719,-0.010529242941238807,-0.11878127314042411,-0.10343727236563033,0.09821950700318459,-0.012607773229783018
1184,299.0,dmm,0.10265704952421988,0.1026570443616687,0.09179848298746421,-0.024322872235679693,0.025877476381171563,0.0063634102826807815,0.026440597985200903
1185,1044.0,perrys,0.10281943484240974,0.10281942967169226,0.05120367352556804,-0.14002853473175148,-0.04405415825431566,-0.0610117380659487,-0.07904405147011247
1186,123.0,clarks,0.10314502771434024,0.10314502252724894,-0.013922798172159107,-0.14608020384296283,-0.058088759698401646,0.07519448510506772,-0.116840379481085
1187,1449.0,seabourn,0.10330985918754074,0.1033098539921602,0.08347017141817122,-0.1364643549033749,-0.004740185986195675,0.1137639983774052,0.06434685989133487
1188,513.0,dixie,0.10344547166043364,0.10344546645823324,0.03055514055992667,-0.07364673276657814,-0.02253674119593358,0.1439729817366187,0.14088172873224541
1189,908.0,voortman,0.10359304912009484,0.10359304391047289,-0.05524977674749235,-0.18234615037439486,-0.09059344170987879,0.022316530725231123,-0.06346684064781641
1191,596.0,seton,0.10417686303417872,0.10417685779519717,0.0708724267930251,-0.07629202778489275,0.010652163239675959,0.02165599614863633,-0.007449725100554132
1193,1414.0,glidden,0.10465622909506213,0.10465622383197357,0.03760838155302871,-0.1852352652588931,0.0031420590904984187,0.028397427676191227,-0.006461099593984137
1194,1248.0,nectar,0.10476883139338614,0.10476882612463487,0.09053581761818681,-0.05614357617662544,0.0717857855191053,0.025007907439878616,0.013650349570884956
1195,211.0,voca,0.1048823750920681,0.10488236981760685,0.06266660273934826,-0.04988101979904595,0.029995861893993447,0.07694970615248302,0.023034748843746487
1196,1322.0,plainwell,0.10497373562438483,0.10497373034532911,0.04795776089722551,-0.1802342521326335,0.00504862699937339,0.011704472492643073,-0.016431174506030738
1197,1137.0,nordica,0.10543413451703204,0.10543412921482316,0.042858966983765706,0.015975774189286952,0.15497474128141947,0.07323323417865435,0.04379150905056136
1198,172.0,bandolier,0.10553064284561042,0.10553063753854819,-0.1689658281554671,-0.12497180729552707,-0.0959057061091612,-0.013873637839596734,-0.11225560447061575
1199,965.0,bells,0.10596095551001314,0.10596095018131083,0.11850678650784449,-0.13298411659577547,0.052702854046536046,0.04056473299882675,0.07662656557204647
1200,673.0,whitewater,0.1060966310651201,0.10609662572959479,-0.01805602161701919,-0.05301801652488507,0.07544694326753983,-0.033475279877941626,-0.06147703449150214
1201,690.0,unilever,0.1062174650102845,0.10621745966868253,-0.05239913525176641,-0.13914471961407854,-0.10834980404303526,-0.006050885258924485,-0.07681319970910169
1202,1260.0,acteon,0.1065176549755393,0.10651764961884098,-0.059397328488493516,-0.08487746727460796,0.022246159172014147,0.08530405090214643,-0.044033243053554896
1203,89.0,munsingwear,0.10839128778511252,0.10839128233419049,0.04677182654699283,-0.08374804075801003,0.008541204999404702,-0.10608658762260181,-0.11544905365003516
1204,934.0,starbucks,0.10853574840040926,0.10853574294222236,0.05299660430333668,-0.034442164630147445,0.06659772389821425,0.08228309110828044,-0.0030856908462013506
1205,1086.0,souplantation,0.10886015883881156,0.10886015336431033,0.07713167068986981,-0.05492944873875265,0.08869244074069423,0.03776824547120142,-0.0028137833290552312
1206,638.0,farmacy,0.10914403181241923,0.10914402632364215,0.0001340278428317715,-0.10768612898218108,0.05618569616438729,-0.008705933848639713,-0.08137400696549146
1207,1254.0,serta,0.10926685156322608,0.10926684606827257,0.11549398518710711,-0.07937451682171233,0.057149335685396915,0.07791347959270872,0.07243335291807154
1208,1021.0,hoboken,0.10976837941778413,0.1097683738976091,0.11774647654331336,-0.15409517103812514,0.07080977916551623,-0.0004320780034034223,0.045859432590794426
1209,1136.0,glade,0.1097915135520528,0.10979150803071439,0.03487362933079568,-0.03361190459837891,0.07073287037636412,0.052920758119760214,0.0205345504945105
1210,258.0,horizons,0.11064351738149047,0.11064351181730545,0.09980041934641556,-0.07964655449355312,0.015089118773676,0.030640813877299056,0.0564591162148427
1211,271.0,transamerica,0.1107420371798946,0.11074203161075505,0.10457960825870487,-0.04535626692481693,0.072558629277102,0.06979834745745002,0.08406346370038865
1212,1069.0,hooters,0.11113706611393284,0.11113706052492753,0.07857453481412202,-0.07998057112157501,0.004203933937637561,0.15910481482143699,0.0859668702414432
1215,130.0,gucci,0.11208315804920448,0.11208315241262089,0.022643889858952257,-0.11037510723310648,-0.03518492102909502,0.06006625839386629,-0.11468552119967194
1216,494.0,tampico,0.1123424426220329,0.11234243697241003,0.0758513246209897,-0.08652988932414177,0.023811038161782757,0.011067562251071677,0.026615543695942715
1217,242.0,aarp,0.1123885404756162,0.11238853482367511,0.10400253843357418,-0.04951485538587334,-0.004593013154454859,-0.016535414493439454,0.01186853656032396
